fold,seed,Model,holdout_athletes,ROC-AUC,PR-AUC,Recall@Threshold,Precision@Threshold,F1@Threshold,FPR@Threshold
1,42,LogisticRegression,24,0.7717294410483353,0.4184722539477859,0.9552529182879378,0.16838134430727023,0.2862973760932945,0.8242692046227057
1,42,RandomForest,24,0.7942610310358236,0.4393223595429517,0.9202334630350194,0.2073651907058308,0.3384615384615385,0.6145479265805575
1,42,GradientBoosting,24,0.8011007890553291,0.48115540252322647,0.6108949416342413,0.37968561064087064,0.46830723340790453,0.1743711760707002
1,42,XGBoostCalibratedTuned,24,0.7988477623152677,0.4710802573262437,0.5953307392996109,0.38345864661654133,0.46646341463414637,0.1672331747110809
1,42,XGBoostDeep,24,0.791182048792875,0.4475008607263062,0.7607003891050583,0.27750177430801987,0.40665626625065004,0.3460231135282121
2,43,LogisticRegression,24,0.7777203616197227,0.4468666288599746,0.9664804469273743,0.17707267144319344,0.29930795847750863,0.8263103802672148
2,43,RandomForest,24,0.7981184087048,0.4699032645514897,0.9217877094972067,0.20685332218972002,0.3378839590443686,0.6502226789996575
2,43,GradientBoosting,24,0.8105604901553618,0.5117171593301328,0.638733705772812,0.4025821596244131,0.49388048956083513,0.17437478588557725
2,43,XGBoostCalibratedTuned,24,0.805918074797943,0.49877756137245044,0.6201117318435754,0.39315230224321135,0.48121387283236994,0.17608770126755738
2,43,XGBoostDeep,24,0.7976341991052012,0.48499035903337434,0.770949720670391,0.2957142857142857,0.42746515229736703,0.3377869133264817
